"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SIG5VUDH","journalArticle","2020","Haizler, Tamar; Steinberg, David M.","Factorial Designs for Online Experiments","Technometrics","","","","","","2020","2021-01-19 08:34:10","2021-01-19 08:34:10","","1–12","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: Taylor & Francis","","C:\Users\wouterkok\Zotero\storage\5XKUBDTA\Haizler and Steinberg - 2020 - Factorial Designs for Online Experiments.pdf; C:\Users\wouterkok\Zotero\storage\2Q3FEJK7\00401706.2019.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLTHM58Y","conferencePaper","2015","Xu, Ya; Chen, Nanyu; Fernandez, Addrian; Sinno, Omar; Bhasin, Anmol","From infrastructure to culture: A/B testing challenges in large scale social networks","Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","","","2015","2021-01-19 08:34:10","2021-01-25 13:45:22","","2227–2236","","","","","","From infrastructure to culture","","","","","","","","","","","","Google Scholar","","2","","","https://content.linkedin.com/content/dam/engineering/site-assets/pdfs/ABTestingSocialNetwork_share.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K676NUIM","journalArticle","2018","Fabijan, Aleksander; Dmitriev, Pavel; McFarland, Colin; Vermeer, Lukas; Holmström Olsson, Helena; Bosch, Jan","Experimentation growth: Evolving trustworthy A/B testing capabilities in online software companies","Journal of Software: Evolution and Process","","","","","","2018","2021-01-19 08:34:10","2021-01-19 08:34:10","","e2113","","12","30","","","Experimentation growth","","","","","","","","","","","","Google Scholar","","Publisher: Wiley Online Library","","C:\Users\wouterkok\Zotero\storage\HPJWRED3\smr.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AH7Q3PXQ","conferencePaper","2018","Mattos, David Issa; Dmitriev, Pavel; Fabijan, Aleksander; Bosch, Jan; Olsson, Helena Holmström","An activity and metric model for online controlled experiments","International Conference on Product-Focused Software Process Improvement","","","","","","2018","2021-01-19 08:34:10","2021-01-19 08:34:10","","182–198","","","","","","","","","","","Springer","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\IP7DHXEW\Mattos et al. - 2018 - An activity and metric model for online controlled.pdf; C:\Users\wouterkok\Zotero\storage\XEZUSJ9A\978-3-030-03673-7_14.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZJSV4WZ","conferencePaper","2016","Deng, Alex; Shi, Xiaolin","Data-driven metric development for online controlled experiments: Seven lessons learned","Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","","","2016","2021-01-19 08:34:10","2021-01-19 08:34:10","","77–86","","","","","","Data-driven metric development for online controlled experiments","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\S5U5Z6X2\Deng and Shi - 2016 - Data-driven metric development for online controll.pdf; C:\Users\wouterkok\Zotero\storage\XVTP395A\2939672.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DIMLZFK","conferencePaper","2019","Fabijan, Aleksander; Dmitriev, Pavel; Olsson, Helena Holmström; Bosch, Jan; Vermeer, Lukas; Lewis, Dylan","Three key checklists and remedies for trustworthy analysis of online controlled experiments at scale","2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)","","","","","","2019","2021-01-19 08:52:54","2021-01-19 08:52:54","","1–10","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\5MG2TAAM\Fabijan et al. - 2019 - Three key checklists and remedies for trustworthy .pdf; C:\Users\wouterkok\Zotero\storage\HNB72DZ6\8804459.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRDPX4NM","journalArticle","2017","Kohavi, Ron; Longbotham, Roger","Online Controlled Experiments and A/B Testing.","Encyclopedia of machine learning and data mining","","","","","","2017","2021-01-19 08:52:54","2021-01-19 08:52:54","","922–929","","8","7","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\K352FQFI\Kohavi and Longbotham - 2017 - Online Controlled Experiments and AB Testing..pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FZBCC94T","conferencePaper","2018","Gupta, Somit; Ulanova, Lucy; Bhardwaj, Sumit; Dmitriev, Pavel; Raff, Paul; Fabijan, Aleksander","The anatomy of a large-scale experimentation platform","2018 IEEE International Conference on Software Architecture (ICSA)","","","","","","2018","2021-01-19 09:17:06","2021-01-19 09:17:06","","1–109","","","","","","","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\DFR3A723\Gupta et al. - 2018 - The anatomy of a large-scale experimentation platf.pdf; C:\Users\wouterkok\Zotero\storage\MKLXG48J\8417111.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TXZHY4T5","journalArticle","2019","Gupta, Somit; Kohavi, Ronny; Tang, Diane; Xu, Ya; Andersen, Reid; Bakshy, Eytan; Cardin, Niall; Chandran, Sumita; Chen, Nanyu; Coey, Dominic","Top challenges from the first practical online controlled experiments summit","ACM SIGKDD Explorations Newsletter","","","","","","2019","2021-01-19 09:21:09","2021-01-19 09:21:09","","20–35","","1","21","","","","","","","","","","","","","","","Google Scholar","","Publisher: ACM New York, NY, USA","","C:\Users\wouterkok\Zotero\storage\SIMVDEA2\3331651.html; C:\Users\wouterkok\Downloads\3331651.3331655.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHP549FF","journalArticle","2019","Firmenich, Sergio; Garrido, Alejandra; Grigera, Julián; Rivero, José Matías; Rossi, Gustavo","Usability improvement through A/B testing and refactoring","Software Quality Journal","","1573-1367","10.1007/s11219-018-9413-y","https://doi.org/10.1007/s11219-018-9413-y","Usability evaluation is an essential task in web application development. There have been several attempts to integrate user-centered design with agile methods, but it is hard to synchronize their practices. User testing is very valuable to learn from feedback of actual use, but it remains expensive to find and solve usability problems. Furthermore, the high cost of usability evaluation forces small/medium-sized companies to trust the first solution applied, without actually testing the success of the solution or considering a possible regression in usability, as could be highlighted by an iterative testing method. In this article, we advocate for a usability improvement cycle oriented by user feedback, and compatible with an agile development process. We propose an iterative method supported by a toolkit that allows usability experts to design user tests, run them remotely, analyze results, and assess alternative solutions to usability problems similarly to A/B testing. Each solution is created by applying client-side web refactorings, i.e., changes to the web pages in the client which are meant to improve usability. The main benefit of our approach is that it reduces the overall cost of user testing and particularly, A/B testing, by applying refactorings to create alternative solutions without modifying the application’s server code. By making it affordable for usability experts to apply the method in parallel with the development cycle, we aim to encourage them to incorporate user feedback and try different ideas to discover the best-performing solution in terms of the metrics of interest.","2019-03-01","2021-01-22 10:29:17","2021-01-22 10:29:17","2021-01-22 10:29:17","203-240","","1","27","","Software Qual J","","","","","","","","en","","","","","Springer Link","","","","C:\Users\wouterkok\Zotero\storage\L6V7Z5VP\Firmenich et al. - 2019 - Usability improvement through AB testing and refa.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
