"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BVAF3C7M","conferencePaper","2015","Deng, Alex","Objective bayesian two sample hypothesis testing for online controlled experiments","Proceedings of the 24th International Conference on World Wide Web","","","","","","2015","2021-01-19 08:34:10","2021-01-19 08:34:10","","923–928","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\5Y8WI6ZI\Deng - 2015 - Objective bayesian two sample hypothesis testing f.pdf; C:\Users\wouterkok\Zotero\storage\QM99J6YD\2740908.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84QVI9FI","journalArticle","2017","Benbunan-Fich, Raquel","The ethics of online research with unsuspecting users: From A/B testing to C/D experimentation","Research Ethics","","","","","","2017","2021-01-19 08:34:10","2021-01-19 08:34:10","","200–218","","3-4","13","","","The ethics of online research with unsuspecting users","","","","","","","","","","","","Google Scholar","","Publisher: SAGE Publications Sage UK: London, England","","C:\Users\wouterkok\Zotero\storage\XIWNRCE4\Benbunan-Fich - 2017 - The ethics of online research with unsuspecting us.pdf; C:\Users\wouterkok\Zotero\storage\6KEDXFX6\1747016116680664.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UXLFT2D","conferencePaper","2015","Drutsa, Alexey; Ufliand, Anna; Gusev, Gleb","Practical aspects of sensitivity in online experimentation with user engagement metrics","Proceedings of the 24th ACM International on Conference on Information and Knowledge Management","","","","","","2015","2021-01-19 08:48:04","2021-01-19 08:48:04","","763–772","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\PRU97WY6\Drutsa et al. - 2015 - Practical aspects of sensitivity in online experim.pdf; C:\Users\wouterkok\Zotero\storage\L8KXQ7JX\2806416.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8G9NZJW5","conferencePaper","2018","Budylin, Roman; Drutsa, Alexey; Katsev, Ilya; Tsoy, Valeriya","Consistent transformation of ratio metrics for efficient online controlled experiments","Proceedings of the Eleventh ACM International Conference on Web Search and Data Mining","","","","","","2018","2021-01-19 08:48:04","2021-01-19 08:48:04","","55–63","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\88WNT8WF\Budylin et al. - 2018 - Consistent transformation of ratio metrics for eff.pdf; C:\Users\wouterkok\Zotero\storage\MPN7PW3Q\3159652.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X5X3W673","conferencePaper","2019","Wang, Yu; Gupta, Somit; Lu, Jiannan; Mahmoudzadeh, Ali; Liu, Sophia","On Heavy-user Bias in A/B Testing","Proceedings of the 28th ACM International Conference on Information and Knowledge Management","","","","","","2019","2021-01-19 08:48:04","2021-01-19 08:48:04","","2425–2428","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\AZVAICBJ\Wang et al. - 2019 - On Heavy-user Bias in AB Testing.pdf; C:\Users\wouterkok\Zotero\storage\D8IGL2HB\3357384.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXFYVNYQ","conferencePaper","2015","Drutsa, Alexey","Sign-aware periodicity metrics of user engagement for online search quality evaluation","Proceedings of the 38th International ACM SIGIR Conference on Research and Development in Information Retrieval","","","","","","2015","2021-01-19 09:03:27","2021-01-19 09:03:27","","779–782","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\76IDTU6G\2766462.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BVKD6WM5","journalArticle","2019","Schamroth, Yoni; Kahlon, Liron Gat; Rabinovich, Boris; Steinberg, David","Early Detection of Long Term Evaluation Criteria in Online Controlled Experiments","arXiv preprint arXiv:1906.05959","","","","","","2019","2021-01-19 09:03:27","2021-01-19 09:03:27","","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\YPDX23B8\Schamroth et al. - 2019 - Early Detection of Long Term Evaluation Criteria i.pdf; C:\Users\wouterkok\Zotero\storage\UFQ2JQYH\1906.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WWLWLAKY","conferencePaper","2017","Dmitriev, Pavel; Gupta, Somit; Kim, Dong Woo; Vaz, Garnet","A dirty dozen: twelve common metric interpretation pitfalls in online controlled experiments","Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","","","2017","2021-01-19 09:03:27","2021-01-19 09:03:27","","1427–1436","","","","","","A dirty dozen","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\PMTTB8FN\Dmitriev et al. - 2017 - A dirty dozen twelve common metric interpretation.pdf; C:\Users\wouterkok\Zotero\storage\PJ93SY2S\3097983.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZH9IEGD","conferencePaper","2019","Fabijan, Aleksander; Gupchup, Jayant; Gupta, Somit; Omhover, Jeff; Qin, Wen; Vermeer, Lukas; Dmitriev, Pavel","Diagnosing sample ratio mismatch in online controlled experiments: a taxonomy and rules of thumb for practitioners","Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining","","","","","","2019","2021-01-19 09:12:19","2021-01-19 09:12:19","","2156–2164","","","","","","Diagnosing sample ratio mismatch in online controlled experiments","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\EYFLPV3S\Fabijan et al. - 2019 - Diagnosing sample ratio mismatch in online control.pdf; C:\Users\wouterkok\Zotero\storage\DC4K83GR\3292500.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PWWWB8FZ","conferencePaper","2020","Liou, Kevin; Taylor, Sean J.","Variance-Weighted Estimators to Improve Sensitivity in Online Experiments","Proceedings of the 21st ACM Conference on Economics and Computation","","","","","","2020","2021-01-19 09:14:50","2021-01-19 09:14:50","","837–850","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\JG35CGEV\Liou and Taylor - 2020 - Variance-Weighted Estimators to Improve Sensitivit.pdf; C:\Users\wouterkok\Zotero\storage\V3Y3XLHS\3391403.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
