"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MUYNG9DT","dictionaryEntry","2014","Deng, Alex; Li, Tianxi; Guo, Yu","Statistical inference in two-stage online controlled experiments with treatment selection and validation","Proceedings of the 23rd international conference on World wide web","","","","","","2014","2021-01-19 08:34:10","2021-01-19 12:29:23","","609–618","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\NDFPWME3\Deng et al. - 2014 - Statistical inference in two-stage online controll.pdf; C:\Users\wouterkok\Zotero\storage\AJRCNPC2\2566486.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLVSV9BJ","conferencePaper","2018","Xie, Yuxiang; Chen, Nanyu; Shi, Xiaolin","False discovery rate controlled heterogeneous treatment effect detection for online controlled experiments","Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining","","","","","","2018","2021-01-19 08:34:10","2021-01-19 08:34:10","","876–885","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\JI9TTVBZ\Xie et al. - 2018 - False discovery rate controlled heterogeneous trea.pdf; C:\Users\wouterkok\Zotero\storage\QH6BT2VX\3219819.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UIRY2TE","conferencePaper","2016","Poyarkov, Alexey; Drutsa, Alexey; Khalyavin, Andrey; Gusev, Gleb; Serdyukov, Pavel","Boosted decision tree regression adjustment for variance reduction in online controlled experiments","Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","","","2016","2021-01-19 08:34:10","2021-01-19 08:34:10","","235–244","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\YQ9UJIR7\Poyarkov et al. - 2016 - Boosted decision tree regression adjustment for va.pdf; C:\Users\wouterkok\Zotero\storage\NX2SDDND\2939672.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GSZYVML9","conferencePaper","2018","Lee, Minyong R.; Shen, Milan","Winner's Curse: Bias Estimation for Total Effects of Features in Online Controlled Experiments","Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining","","","","","","2018","2021-01-19 08:34:10","2021-01-19 08:34:10","","491–499","","","","","","Winner's Curse","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\HRTK5LUP\3219819.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBTMLRQZ","conferencePaper","2015","Deng, Alex; Hu, Victor","Diluted treatment effect estimation for trigger analysis in online controlled experiments","Proceedings of the Eighth ACM International Conference on Web Search and Data Mining","","","","","","2015","2021-01-19 08:34:10","2021-01-19 08:34:10","","349–358","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\XVLSDK9M\Deng and Hu - 2015 - Diluted treatment effect estimation for trigger an.pdf; C:\Users\wouterkok\Zotero\storage\6GYQ4TBT\2684822.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TAH7U2MZ","journalArticle","2018","Chen, Nanyu; Liu, Min; Xu, Ya","Automatic Detection and Diagnosis of Biased Online Experiments","arXiv preprint arXiv:1808.00114","","","","","","2018","2021-01-19 08:52:54","2021-01-19 08:52:54","","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\5SBGWQRQ\Chen et al. - 2018 - Automatic Detection and Diagnosis of Biased Online.pdf; C:\Users\wouterkok\Zotero\storage\SSCTB9DF\1808.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UUKSILYS","journalArticle","2020","Brata, Komang Candra; Brata, Adam Hendra","User experience improvement of japanese language mobile learning application through mental model and A/B testing","International Journal of Electrical and Computer Engineering","","","","","","2020","2021-01-19 08:52:54","2021-01-19 08:52:54","","2659","","3","10","","","","","","","","","","","","","","","Google Scholar","","Publisher: IAES Institute of Advanced Engineering and Science","","C:\Users\wouterkok\Zotero\storage\ZGKQ36S3\Brata and Brata - 2020 - User experience improvement of japanese language m.pdf; C:\Users\wouterkok\Zotero\storage\J263E47D\1.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INY3ECT7","journalArticle","2020","Fan, Kenneth L.; Black, Cara K.; DeFazio, Michael V.; Luvisa, Kyle; Camden, Rachel; Song, David H.","Bridging the knowledge gap: an examination of the ideal postoperative autologous breast reconstruction educational material with A/B testing","Plastic and Reconstructive Surgery","","","","","","2020","2021-01-19 08:52:54","2021-01-19 08:52:54","","258–266","","1","145","","","Bridging the knowledge gap","","","","","","","","","","","","Google Scholar","","Publisher: LWW","","C:\Users\wouterkok\Zotero\storage\A9QFS6KH\bridging_the_knowledge_gap__an_examination_of_the.54.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63WXWGX6","journalArticle","2019","Syahidi, Aulia Akhrian; Tolle, Herman; Supianto, Ahmad Afif; Hirashima, Tsukasa","Educational media design for learning basic programming in branching control structure material using problem-posing learning model","Kinetik: Game Technology, Information System, Computer Network, Computing, Electronics, and Control","","","","","","2019","2021-01-19 09:03:27","2021-01-19 09:03:27","","325–336","","4","4","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\KS3XGUNX\Syahidi et al. - 2019 - Educational media design for learning basic progra.pdf; C:\Users\wouterkok\Zotero\storage\ENZ6T4C2\803.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y8GF4JVW","journalArticle","2020","Cing, Dim Lam; Soe, Khin Mar","Improving accuracy of part-of-speech (POS) tagging using hidden markov model and morphological analysis for Myanmar Language.","International Journal of Electrical & Computer Engineering (2088-8708)","","","","","","2020","2021-01-19 09:03:27","2021-01-19 09:03:27","","","","","10","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\TWNF7Y3G\Cing and Soe - 2020 - Improving accuracy of part-of-speech (POS) tagging.pdf; C:\Users\wouterkok\Zotero\storage\KDJ8B9JL\abstract.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
