"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GCRYB4RH","report","2019","Koning, Rembrand; Hasan, Sharique; Chatterji, Aaron","Experimentation and startup performance: Evidence from A/B testing","","","","","","","2019","2021-01-19 08:34:10","2021-01-19 08:34:10","","","","","","","","Experimentation and startup performance","","","","","National Bureau of Economic Research","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\G8QEABRB\w26278.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIG5VUDH","journalArticle","2020","Haizler, Tamar; Steinberg, David M.","Factorial Designs for Online Experiments","Technometrics","","","","","","2020","2021-01-19 08:34:10","2021-01-19 08:34:10","","1–12","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: Taylor & Francis","","C:\Users\wouterkok\Zotero\storage\5XKUBDTA\Haizler and Steinberg - 2020 - Factorial Designs for Online Experiments.pdf; C:\Users\wouterkok\Zotero\storage\2Q3FEJK7\00401706.2019.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLTHM58Y","conferencePaper","2015","Xu, Ya; Chen, Nanyu; Fernandez, Addrian; Sinno, Omar; Bhasin, Anmol","From infrastructure to culture: A/B testing challenges in large scale social networks","Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","","","2015","2021-01-19 08:34:10","2021-01-25 13:45:22","","2227–2236","","","","","","From infrastructure to culture","","","","","","","","","","","","Google Scholar","","2","","","https://content.linkedin.com/content/dam/engineering/site-assets/pdfs/ABTestingSocialNetwork_share.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27NDHSC9","conferencePaper","2017","Duivesteijn, Wouter; Farzami, Tara; Putman, Thijs; Peer, Evertjan; Weerts, Hilde JP; Adegeest, Jasper N.; Foks, Gerson; Pechenizkiy, Mykola","Have It Both Ways—From A/B Testing to A&B Testing with Exceptional Model Mining","Joint European Conference on Machine Learning and Knowledge Discovery in Databases","","","","","","2017","2021-01-19 08:34:10","2021-01-19 08:34:10","","114–126","","","","","","","","","","","Springer","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\L77NWI7P\have-it-both-ways-from-ab-testing-to-aampb-testing-with-exception-2.html; C:\Users\wouterkok\Zotero\storage\B5GBVZPN\978-3-319-71273-4_10.html; C:\Users\wouterkok\Zotero\storage\CCEPYPLF\Duivesteijn et al. - 2017 - Have It Both Ways—From AB Testing to A&B Testing .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QL8IZHRD","conferencePaper","2012","Kohavi, Ron; Deng, Alex; Frasca, Brian; Longbotham, Roger; Walker, Toby; Xu, Ya","Trustworthy online controlled experiments: Five puzzling outcomes explained","Proceedings of the 18th ACM SIGKDD international conference on Knowledge discovery and data mining","","","","","","2012","2021-01-19 08:34:10","2021-01-19 08:34:10","","786–794","","","","","","Trustworthy online controlled experiments","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\REFG6NGF\Kohavi et al. - 2012 - Trustworthy online controlled experiments Five pu.pdf; C:\Users\wouterkok\Zotero\storage\QZWJQYUI\2339530.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H8AUZ9EY","conferencePaper","2015","Drutsa, Alexey; Gusev, Gleb; Serdyukov, Pavel","Future user engagement prediction and its application to improve the sensitivity of online experiments","Proceedings of the 24th International Conference on World Wide Web","","","","","","2015","2021-01-19 08:34:10","2021-01-19 08:34:10","","256–266","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\PM9G3MWN\Drutsa et al. - 2015 - Future user engagement prediction and its applicat.pdf; C:\Users\wouterkok\Zotero\storage\QSNF8FIP\2736277.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8BLWILG","conferencePaper","2018","Marrero, Mónica; Hauff, Claudia","A/b testing with APONE","The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval","","","","","","2018","2021-01-19 08:34:10","2021-01-19 08:34:10","","1269–1272","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\DDRLX53C\3209978.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K676NUIM","journalArticle","2018","Fabijan, Aleksander; Dmitriev, Pavel; McFarland, Colin; Vermeer, Lukas; Holmström Olsson, Helena; Bosch, Jan","Experimentation growth: Evolving trustworthy A/B testing capabilities in online software companies","Journal of Software: Evolution and Process","","","","","","2018","2021-01-19 08:34:10","2021-01-19 08:34:10","","e2113","","12","30","","","Experimentation growth","","","","","","","","","","","","Google Scholar","","Publisher: Wiley Online Library","","C:\Users\wouterkok\Zotero\storage\HPJWRED3\smr.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LSY5JLLY","conferencePaper","2018","Fabijan, Aleksander; Dmitriev, Pavel; Olsson, Helena Holmstrom; Bosch, Jan","Online controlled experimentation at scale: an empirical survey on the current state of A/B testing","2018 44th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","","","","","","2018","2021-01-19 08:34:10","2021-01-19 08:34:10","","68–72","","","","","","Online controlled experimentation at scale","","","","","IEEE","","","","","","","Google Scholar","","","","C:\Users\wouterkok\Zotero\storage\C72994I7\Fabijan et al. - 2018 - Online controlled experimentation at scale an emp.pdf; C:\Users\wouterkok\Zotero\storage\APPHYRJQ\8498188.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XYLRV2ZR","journalArticle","2019","Mattos, David Issa; Bosch, Jan; Olsson, Helena Holmström","Multi-armed bandits in the wild: pitfalls and strategies in online experiments","Information and Software Technology","","","","","","2019","2021-01-19 08:34:10","2021-01-19 08:34:10","","68–81","","","113","","","Multi-armed bandits in the wild","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\wouterkok\Zotero\storage\SDX5L9SK\S0950584919301053.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
