"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"384T63VF","journalArticle","2018","Savi, Alexander O.; Ruijs, Nienke M.; Maris, Gunter K. J.; van der Maas, Han L. J.","Delaying access to a problem-skipping option increases effortful practice: Application of an A/B test in large-scale online learning","Computers & Education","","0360-1315","10.1016/j.compedu.2017.12.008","http://www.sciencedirect.com/science/article/pii/S0360131517302737","We report on an online double-blind randomized controlled field experiment (A/B test) in Math Garden, a computer adaptive practice system with over 150,000 active primary school children. The experiment was designed to eliminate an unforeseen opportunity to practice with minimal effort. Some children tend to skip problems that require deliberate effort, and only attempt problems that they can spontaneously answer. The intervention delayed the option to skip a problem, thereby promoting effortful practice. The results reveal an increase in the exerted effort, without being at the expense of engagement. Whether the additional effort positively affected the children's learning gains could not be concluded. Finally, in addition to these substantial results, the experiment demonstrates some of the advantages of A/B tests, such as the unique opportunity to apply truly blind randomized field experiments in educational science.","2018-04-01","2021-01-21 08:29:38","2021-01-21 08:33:28","2021-01-21 08:29:37","84-94","","","119","","Computers & Education","Delaying access to a problem-skipping option increases effortful practice","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\wouterkok\Zotero\storage\M9YNJIKN\S0360131517302737.html; C:\Users\wouterkok\Zotero\storage\6TDFCSKH\Savi et al. - 2018 - Delaying access to a problem-skipping option incre.pdf","","","Elementary education; Evaluation methodologies; Evaluation of CAL systems; Interactive learning environments; Teaching/learning strategies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DR9UXEFI","journalArticle","2020","Lwakatare, Lucy Ellen; Raj, Aiswarya; Crnkovic, Ivica; Bosch, Jan; Olsson, Helena Holmström","Large-scale machine learning systems in real-world industrial settings: A review of challenges and solutions","Information and Software Technology","","0950-5849","10.1016/j.infsof.2020.106368","http://www.sciencedirect.com/science/article/pii/S0950584920301373","Background: Developing and maintaining large scale machine learning (ML) based software systems in an industrial setting is challenging. There are no well-established development guidelines, but the literature contains reports on how companies develop and maintain deployed ML-based software systems. Objective: This study aims to survey the literature related to development and maintenance of large scale ML-based systems in industrial settings in order to provide a synthesis of the challenges that practitioners face. In addition, we identify solutions used to address some of these challenges. Method: A systematic literature review was conducted and we identified 72 papers related to development and maintenance of large scale ML-based software systems in industrial settings. The selected articles were qualitatively analyzed by extracting challenges and solutions. The challenges and solutions were thematically synthesized into four quality attributes: adaptability, scalability, safety and privacy. The analysis was done in relation to ML workflow, i.e. data acquisition, training, evaluation, and deployment. Results: We identified a total of 23 challenges and 8 solutions related to development and maintenance of large scale ML-based software systems in industrial settings including six different domains. Challenges were most often reported in relation to adaptability and scalability. Safety and privacy challenges had the least reported solutions. Conclusion: The development and maintenance on large-scale ML-based systems in industrial settings introduce new challenges specific for ML, and for the known challenges characteristic for these types of systems, require new methods in overcoming the challenges. The identified challenges highlight important concerns in ML system development practice and the lack of solutions point to directions for future research.","2020-11-01","2021-01-21 08:29:38","2021-01-21 08:29:38","2021-01-21 08:29:37","106368","","","127","","Information and Software Technology","Large-scale machine learning systems in real-world industrial settings","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\wouterkok\Zotero\storage\T3G486K7\S0950584920301373.html","","","Challenges; Industrial settings; Machine learning systems; SLR; Software engineering; Solutions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F5P46H4C","journalArticle","2019","van Capelleveen, Guido; Amrit, Chintan; Yazan, Devrim Murat; Zijm, Henk","The recommender canvas: A model for developing and documenting recommender system design","Expert Systems with Applications","","0957-4174","10.1016/j.eswa.2019.04.001","http://www.sciencedirect.com/science/article/pii/S0957417419302313","The task of designing a recommender system is a complex process. Because of the many technological advancements that may be included in a recommender system, engineers are faced with a fast growing number of design related decisions to be taken. Unfortunately, there is no general approach yet for decision makers that can act as a framework guiding the design of a recommender system. The rich collection of literature on recommender systems, though, offers a great source to identify the key areas where these decisions need to be taken. In this paper, we survey existing literature with the aim of building a recommender system model inspired by Osterwalder’s canvas theory. The result of our semi-structured synthesis is a novel design approach in the form of a canvas for designing recommender systems. This work provides a better understanding and can serve as a guide for decision making in recommender system design.","2019-09-01","2021-01-21 08:29:38","2021-01-21 08:33:28","2021-01-21 08:29:37","97-117","","","129","","Expert Systems with Applications","The recommender canvas","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\wouterkok\Zotero\storage\J9AQZGJE\S0957417419302313.html; C:\Users\wouterkok\Zotero\storage\GND7J6SE\van Capelleveen et al. - 2019 - The recommender canvas A model for developing and.pdf","","","Design decisions; Recommender canvas; Recommender system; Requirement specification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZWLIVQH","journalArticle","2020","Teubner, Timm; Graul, Antje","Only one room left! How scarcity cues affect booking intentions on hospitality platforms","Electronic Commerce Research and Applications","","1567-4223","10.1016/j.elerap.2019.100910","http://www.sciencedirect.com/science/article/pii/S1567422319300870","Communication of scarcity has emerged as a fundamental marketing principle in electronic commerce and for hospitality platforms in particular. We investigate the effect of scarcity cues on consumer behavior. First, we explore actual market data from Airbnb and Booking.com, and find that scarcity cues are used differently by hotel versus peer-based hospitality platforms. Second, we conduct an online experiment on consumer perceptions of scarcity. Specifically, we find support for two distinct effect paths, along which scarcity perceptions lead to increased booking intentions through urgency (the get-it-before-it’s-gone effect) and value (the must-be-good effect). We discuss practical implications of our results as well as the potential for the misuse of scarcity claims for unfair competition.","2020-01-01","2021-01-21 08:29:38","2021-01-21 08:33:28","2021-01-21 08:29:37","100910","","","39","","Electronic Commerce Research and Applications","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\wouterkok\Zotero\storage\92G3G37U\S1567422319300870.html","","","Consumer behavior; Marketing research; Platform economy; Scarcity cues; Urgency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V26SS29X","journalArticle","2021","Zhao, Mingjun; Yan, Shengli; Liu, Bang; Zhong, Xinwang; Hao, Qian; Chen, Haolan; Niu, Di; Long, Bowei; Guo, Weidong","QBSUM: A large-scale query-based document summarization dataset from real-world applications","Computer Speech & Language","","0885-2308","10.1016/j.csl.2020.101166","http://www.sciencedirect.com/science/article/pii/S0885230820300991","Query-based document summarization aims to extract or generate a summary of a document which directly answers or is relevant to the search query. It is an important technique that can be beneficial to a variety of applications such as search engines, document-level machine reading comprehension, and chatbots. Currently, datasets designed for query-based summarization are short in numbers and existing datasets are also limited in both scale and quality. Moreover, to the best of our knowledge, there is no publicly available dataset for Chinese query-based document summarization. In this paper, we present QBSUM, a high-quality large-scale dataset consisting of 49,000+ data samples for the task of Chinese query-based document summarization. We also propose multiple unsupervised and supervised solutions to the task and demonstrate their high-speed inference and superior performance via both offline experiments and online A/B tests. The QBSUM dataset is released in order to facilitate future advancement of this research field.","2021-03-01","2021-01-21 08:29:38","2021-01-21 08:33:28","2021-01-21 08:29:37","101166","","","66","","Computer Speech & Language","QBSUM","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\wouterkok\Zotero\storage\V7RV3F3U\S0885230820300991.html; C:\Users\wouterkok\Zotero\storage\F7QW4KZG\Zhao et al. - 2021 - QBSUM A large-scale query-based document summariz.pdf","","","Information retrieval; Natural language generation; Query-based summarization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"252DT8LK","journalArticle","2020","Roethke, Konstantin; Klumpe, Johannes; Adam, Martin; Benlian, Alexander","Social influence tactics in e-commerce onboarding: The role of social proof and reciprocity in affecting user registrations","Decision Support Systems","","0167-9236","10.1016/j.dss.2020.113268","http://www.sciencedirect.com/science/article/pii/S0167923620300233","Given the increasing competition to attract new customers, e-commerce providers (i.e., e-tailers) are being urged to optimize their website onboarding journeys. Design mechanisms employing social influence tactics seem to be promising avenues to effectively improve user onboarding experiences. Specifically, two social influence tactics—namely, reciprocity and social proof—are widely used in practice to reliably enhance user registrations. Yet, researchers have only tentatively examined how these combined tactics affect user onboarding behavior. While combining both tactics may hold synergistic potential, it may also be counterproductive, as too much social influence may backfire. We address this research gap by investigating the distinct and joint effects of reciprocity and social proof on user registration behavior. Drawing on two forms of reciprocity (i.e., utility- and monetary-based reciprocity), we conduct an online experiment (N = 249) and a related randomized field experiment (N = 475,495) to compare both reciprocity variants in combination with social proof and investigate their efficacy for actual user onboarding decisions (i.e., user registrations). Our results show that both social influence tactics and both reciprocity variants have positive effects on users' registration behavior if applied individually. However, when both tactics are employed together, the effect of reciprocity is moderated by social proof such that social proof nullifies the effect of monetary-based reciprocity whereas it amplifies the effect of utility-based reciprocity. Our study thereby contributes to a more advanced understanding of the interactive relationship between reciprocity and social proof and their joint effect on user onboarding decisions.","2020-04-01","2021-01-21 08:29:38","2021-01-21 08:29:38","2021-01-21 08:29:37","113268","","","131","","Decision Support Systems","Social influence tactics in e-commerce onboarding","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\wouterkok\Zotero\storage\77N7JWMV\S0167923620300233.html","","","E-commerce; Reciprocity; Social influence; Social proof; User onboarding; User registration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KCCS45UY","journalArticle","2020","Drugov, Mikhail; Ryvkin, Dmitry","Tournament rewards and heavy tails","Journal of Economic Theory","","0022-0531","10.1016/j.jet.2020.105116","http://www.sciencedirect.com/science/article/pii/S0022053120301095","Heavy-tailed fluctuations are common in many environments, such as sales of creative and innovative products or the financial sector. We study how the presence of heavy tails in the distribution of shocks affects the optimal allocation of prizes in rank-order tournaments à la Lazear and Rosen (1981). While a winner-take-all prize schedule maximizes aggregate effort for light-tailed shocks, prize sharing becomes optimal when shocks acquire heavy tails, increasingly so following a skewness order. Extreme prize sharing—rewarding all ranks but the very last—is optimal when shocks have a decreasing failure rate, such as power laws. Hence, under heavy-tailed uncertainty, typically associated with strong inequality in the distribution of gains, providing incentives and reducing inequality go hand in hand.","2020-11-01","2021-01-21 08:29:38","2021-01-21 08:29:38","2021-01-21 08:29:37","105116","","","190","","Journal of Economic Theory","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\wouterkok\Zotero\storage\PXV34F37\S0022053120301095.html; C:\Users\wouterkok\Zotero\storage\H3S5I2CP\Drugov and Ryvkin - 2020 - Tournament rewards and heavy tails.pdf","","","Failure rate; Heavy tails; Optimal allocation of prizes; Power law; Tournament","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AEN96TVA","journalArticle","2020","Lunardi, Gabriel Machado; Machado, Guilherme Medeiros; Maran, Vinicius; de Oliveira, José Palazzo M.","A metric for Filter Bubble measurement in recommender algorithms considering the news domain","Applied Soft Computing","","1568-4946","10.1016/j.asoc.2020.106771","http://www.sciencedirect.com/science/article/pii/S1568494620307092","Recommender systems have been constantly refined to improve the accuracy of rating prediction and ranking generation. However, when a recommender system is too accurate in predicting the users’ interests, negative impacts can arise. One of the most critical is the filter bubbles creation, a situation where a user receives less content diversity. In the news domain, such effect is critical once they are ways of opinion formation. In this paper, we aim to assess the role that a specific set of recommender algorithms has in the creation of filter bubbles and if diversification approaches can decrease such effect. We also verify the effects of such an environment in the users’ exposition and interaction to fake news in the Brazilian presidential election of 2018. To perform such a study, we developed a prototype that recommends news stories and presents these recommendations in a feed. To measure the filter bubble, we introduce a new metric based on the homogenization of a recommended items’ set. Our results show KNN item-based recommendation with the MMR diversification algorithm performs slightly better in putting the user in contact with less homogeneous content while presenting a lower index of likes in fake news.","2020-12-01","2021-01-21 08:29:38","2021-01-21 08:29:38","2021-01-21 08:29:37","106771","","","97","","Applied Soft Computing","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\wouterkok\Zotero\storage\4KSMR49P\S1568494620307092.html","","","Diversity; Fake news; Filter bubbles; News recommendation; Recommender systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V8RP9EF4","journalArticle","2020","Biesialska, Katarzyna; Franch, Xavier; Muntés-Mulero, Victor","Big Data analytics in Agile software development: A systematic mapping study","Information and Software Technology","","0950-5849","10.1016/j.infsof.2020.106448","http://www.sciencedirect.com/science/article/pii/S0950584920301981","Context: Over the last decade, Agile methods have changed the software development process in an unparalleled way and with the increasing popularity of Big Data, optimizing development cycles through data analytics is becoming a commodity. Objective: Although a myriad of research exists on software analytics as well as on Agile software development (ASD) practice on itself, there exists no systematic overview of the research done on ASD from a data analytics perspective. Therefore, the objective of this work is to make progress by linking ASD with Big Data analytics (BDA). Method: As the primary method to find relevant literature on the topic, we performed manual search and snowballing on papers published between 2011 and 2019. Results: In total, 88 primary studies were selected and analyzed. Our results show that BDA is employed throughout the whole ASD lifecycle. The results reveal that data-driven software development is focused on the following areas: code repository analytics, defects/bug fixing, testing, project management analytics, and application usage analytics. Conclusions: As BDA and ASD are fast-developing areas, improving the productivity of software development teams is one of the most important objectives BDA is facing in the industry. This study provides scholars with information about the state of software analytics research and the current trends as well as applications in the business environment. Whereas, thanks to this literature review, practitioners should be able to understand better how to obtain actionable insights from their software artifacts and on which aspects of data analytics to focus when investing in such initiatives.","2020-10-13","2021-01-21 08:29:38","2021-01-21 08:29:38","2021-01-21 08:29:37","106448","","","","","Information and Software Technology","Big Data analytics in Agile software development","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\wouterkok\Zotero\storage\AN76K778\S0950584920301981.html","","","Agile software development; Artificial intelligence; Data analytics; Literature review; Machine learning; Software analytics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R7QIF7MV","journalArticle","2019","Issa Mattos, David; Bosch, Jan; Olsson, Helena Holmström","Multi-armed bandits in the wild: Pitfalls and strategies in online experiments","Information and Software Technology","","0950-5849","10.1016/j.infsof.2019.05.004","http://www.sciencedirect.com/science/article/pii/S0950584919301053","Context Delivering faster value to customers with online experimentation is an emerging practice in industry. Multi-Armed Bandit (MAB) based experiments have the potential to deliver even faster results with a better allocation of resources over traditional A/B experiments. However, the incorrect use of MAB-based experiments can lead to incorrect conclusions that can potentially hurt the company's business. Objective The objective of this study is to understand the pitfalls and restrictions of using MABs in online experiments, as well as the strategies that are used to overcome them. Method This research uses a multiple case study method with eleven experts across five software companies and simulations to triangulate the data of some of the identified limitations. Results This study analyzes some limitations faced by companies using MAB and discusses strategies used to overcome them. The results are summarized into practitioners’ guidelines with criteria to select an appropriated experimental design. Conclusion MAB algorithms have the potential to deliver even faster results with a better allocation of resources over traditional A/B experiments. However, potential mistakes can occur and hinder the potential benefits of such approach. Together with the provided guidelines, we aim for this paper to be used as reference material for practitioners during the design of an online experiment.","2019-09-01","2021-01-21 08:29:38","2021-01-21 08:29:38","2021-01-21 08:29:37","68-81","","","113","","Information and Software Technology","Multi-armed bandits in the wild","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\wouterkok\Zotero\storage\V64HQ4ED\S0950584919301053.html","","","A/B tests; Multi-armed bandit; Multi-armed bandit pitfalls; Online experiments","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
