"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2MASFQ79","bookSection","2017","Kohavi, Ron; Longbotham, Roger","Online Controlled Experiments and A/B Testing","Encyclopedia of Machine Learning and Data Mining","978-1-4899-7687-1","","","https://doi.org/10.1007/978-1-4899-7687-1_891","The Internet connectivity of client software (e.g., apps running on phones and PCs), websites, and online services provide an unprecedented opportunity to evaluate ideas quickly using controlled experiments, also called A/B tests, split tests, randomized experiments, control/treatment tests, and online field experiments. Unlike most data mining techniques for finding correlational patterns, controlled experiments allow establishing a causal relationship with high probability. Experimenters can utilize the scientific method to form a hypothesis of the form “If a specific change is introduced, will it improve key metrics?” and evaluate it with real users.The theory of a controlled experiment dates back to Sir Ronald A. Fisher’s experiments at the Rothamsted Agricultural Experimental Station in England in the 1920s, and the topic of offline experiments is well developed in Statistics (Box et al., Statistics for experimenters: design, innovation, and discovery. Wiley, Hoboken, 2005). Online-controlled experiments started to be used in the late 1990s with the growth of the Internet. Today, many large sites, including Amazon, Bing, Facebook, Google, LinkedIn, and Yahoo!, run thousands to tens of thousands of experiments each year testing user interface (UI) changes, enhancements to algorithms (search, ads, personalization, recommendation, etc.), changes to apps, content management system, etc. Online-controlled experiments are now considered an indispensable tool, and their use is growing for startups and smaller websites. Controlled experiments are especially useful in combination with Agile software development (Martin, Clean code: a handbook of Agile software craftsmanship. Prentice Hall, Upper Saddle River, 2008; Rubin, Essential scrum: a practical guide to the most popular Agile process. Addison-Wesley Professional, Upper Saddle River, 2012), Steve Blank’s Customer Development process (Blank, The four steps to the epiphany: successful strategies for products that win. Cafepress.com., 2005), and MVPs (minimum viable products) popularized by Eric Ries’s Lean Startup (Ries, The lean startup: how today’s entrepreneurs use continuous innovation to create radically successful businesses. Crown Business, New York, 2011).","2017","2021-01-22 10:27:45","2021-01-22 10:27:45","2021-01-22 10:27:45","922-929","","","","","","","","","","","Springer US","Boston, MA","en","","","","","Springer Link","","DOI: 10.1007/978-1-4899-7687-1_891","","C:\Users\wouterkok\Zotero\storage\E7GAYIZR\Kohavi and Longbotham - 2017 - Online Controlled Experiments and AB Testing.pdf","","","","Sammut, Claude; Webb, Geoffrey I.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IVMYKPA9","bookSection","2016","Kohavi, Ron; Longbotham, Roger","Online Controlled Experiments and A/B Testing","Encyclopedia of Machine Learning and Data Mining","978-1-4899-7502-7","","","https://doi.org/10.1007/978-1-4899-7502-7_891-1","The Internet connectivity of client software (e.g. , apps running on phones and PCs), websites, and online services provide an unprecedented opportunity to evaluate ideas quickly using controlled experiments, also called A/B tests, split tests, randomized experiments, control/treatment tests, and online field experiments. Unlike most data mining techniques for finding correlational patterns, controlled experiments allow establishing a causal relationship with high probability. Experimenters can utilize the scientific method to form a hypothesis of the form “If a specific change is introduced, will it improve key metrics?” and evaluate it with real users.The theory of a controlled experiment dates back to Sir Ronald A. Fisher’s experiments at the Rothamsted Agricultural Experimental Station in England in the 1920s, and the topic of offline experiments is well developed in Statistics (Box et al., Statistics for experimenters: design, innovation, and discovery. Wiley, Hoboken, 2005). Online-controlled experiments started to be used in the late 1990s with the growth of the Internet. Today, many large sites, including Amazon, Bing, Facebook, Google, LinkedIn, and Yahoo!, run thousands to tens of thousands of experiments each year testing user interface (UI) changes, enhancements to algorithms (search, ads, personalization, recommendation, etc.), changes to apps, content management system, etc. Online-controlled experiments are now considered an indispensable tool, and their use is growing for startups and smaller websites. Controlled experiments are especially useful in combination with Agile software development (Martin, Clean code: a handbook of Agile software craftsmanship. Prentice Hall, Upper Saddle River, 2008; Rubin, Essential scrum: a practical guide to the most popular Agile process. Addison-Wesley Professional, Upper Saddle River, 2012), Steve Blank’s Customer Development process (Blank, The four steps to the epiphany: successful strategies for products that win. Cafepress.com., 2005), and MVPs (minimum viable products) popularized by Eric Ries’s Lean Startup (Ries, The lean startup: how today’s entrepreneurs use continuous innovation to create radically successful businesses. Crown Business, New York, 2011).","2016","2021-01-22 10:28:04","2021-01-22 10:28:04","2021-01-22 10:28:04","1-8","","","","","","","","","","","Springer US","Boston, MA","en","","","","","Springer Link","","DOI: 10.1007/978-1-4899-7502-7_891-1","","C:\Users\wouterkok\Zotero\storage\TH5465MG\Kohavi and Longbotham - 2016 - Online Controlled Experiments and AB Testing.pdf","","","Agile Software Development; Analysis Unit; Major League Baseball; Split Test; User Metrics","Sammut, Claude; Webb, Geoffrey I.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2WDI9QRJ","conferencePaper","2018","Issa Mattos, David; Dmitriev, Pavel; Fabijan, Aleksander; Bosch, Jan; Holmström Olsson, Helena","An Activity and Metric Model for Online Controlled Experiments","Product-Focused Software Process Improvement","978-3-030-03673-7","","10.1007/978-3-030-03673-7_14","","Accurate prioritization of efforts in product and services development is critical to the success of every company. Online controlled experiments, also known as A/B tests, enable software companies to establish causal relationships between changes in their systems and the movements in the metrics. By experimenting, product development can be directed towards identifying and delivering value. Previous research stresses the need for data-driven development and experimentation. However, the level of granularity in which existing models explain the experimentation process is neither sufficient, in terms of details, nor scalable, in terms of how to increase number and run different types of experiments, in an online setting. Based on a case study of multiple products running online controlled experiments at Microsoft, we provide an experimentation framework composed of two detailed experimentation models focused on two main aspects; the experimentation activities and the experimentation metrics. This work intends to provide guidelines to companies and practitioners on how to set and organize experimentation activities for running trustworthy online controlled experiments.","2018","2021-01-22 10:28:16","2021-01-22 10:28:16","","182-198","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\wouterkok\Zotero\storage\BCIE8E6W\Issa Mattos et al. - 2018 - An Activity and Metric Model for Online Controlled.pdf","","","A/B tests; Data-driven development; Online controlled experiments","Kuhrmann, Marco; Schneider, Kurt; Pfahl, Dietmar; Amasaki, Sousuke; Ciolkowski, Marcus; Hebig, Regina; Tell, Paolo; Klünder, Jil; Küpper, Steffen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LDC3FLQ7","conferencePaper","2019","Holmström Olsson, Helena; Bosch, Jan","Data Driven Development: Challenges in Online, Embedded and On-Premise Software","Product-Focused Software Process Improvement","978-3-030-35333-9","","10.1007/978-3-030-35333-9_36","","For more than a decade, data driven development has attracted attention as one of the most powerful means to improve effectiveness and ensure value delivery to customers. In online companies, controlled experimentation is the primary technique to measure how customers respond to variants of deployed software. In B2B companies, an interest for data driven development is rapidly emerging and experiments are run on selected instances of the system or as comparisons of previously computed data to ensure quality, improve configurations and explore new value propositions. Although the adoption of data driven development is challenging in general, it is especially so for embedded systems companies and for companies developing on-premise software solutions. Due to complex systems with hardware dependencies, safety-critical functionality and strict regulations, these companies have longer development cycles, less frequent deployments and limited access to data. In this paper, and based on multi-case study research, we explore the specific challenges that embedded systems companies and companies developing on-premise solutions experience when adopting data driven development practices. The contribution of the paper is two-fold. First, we provide empirical evidence in which we identify the key challenges that embedded systems and on-premise software solutions companies experience as they evolve through the process of adopting data driven development practices. Second, we define the key focus areas that these companies need to address for evolving their data driven development adoption process .","2019","2021-01-22 10:28:40","2021-01-22 10:28:40","","515-527","","","","","","Data Driven Development","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\wouterkok\Zotero\storage\L5YKUIES\Holmström Olsson and Bosch - 2019 - Data Driven Development Challenges in Online, Emb.pdf","","","Adoption process; Challenges; Data driven development; Embedded systems; On-premise solutions; Online software","Franch, Xavier; Männistö, Tomi; Martínez-Fernández, Silverio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P5DJKM5P","conferencePaper","2016","Koukouvis, Kostantinos; Cubero, Roberto Alcañiz; Pelliccione, Patrizio","A/B Testing in E-commerce Sales Processes","Software Engineering for Resilient Systems","978-3-319-45892-2","","10.1007/978-3-319-45892-2_10","","E-commerce has traditionally been a field where online controlled experiments, such as A/B testing, take place. Most of these experiments focus on evaluating the front-end of the application and specifically different visual aspects, e.g. creating variations of the layouts, fonts, colors of the site, etc. In this paper we want to experiment whether A/B testing can be used to evaluate e-commerce sales processes and to improve the resilience of these processes. To achieve this goal we developed a tool in collaboration with a company, called Sonician AB, which is focused on marketing automation. The tool has been designed to empower business owners with a virtual assistant able to help customers understanding their needs and making decisions while purchasing products or services. The tool has been evaluated within the company and instantiated in two different business flow cases. Two experiments under real-life conditions show promising results. The paper concludes with lessons learned and a set of guidelines designed to help companies with interest of conducting similar experiments.","2016","2021-01-22 10:28:47","2021-01-22 10:28:47","","133-148","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\wouterkok\Zotero\storage\UY672JQP\Koukouvis et al. - 2016 - AB Testing in E-commerce Sales Processes.pdf","","","Business Owner; Database Module; Decision Assistant; Sales Process; Visual Aspect","Crnkovic, Ivica; Troubitsyna, Elena","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S83H7HWW","conferencePaper","2021","Green, Rolf; Bosch, Jan; Holmström Olsson, Helena","Autonomously Improving Systems in Industry: A Systematic Literature Review","Software Business","978-3-030-67292-8","","10.1007/978-3-030-67292-8_3","","A significant amount of research effort is put into studying machine learning (ML) and deep learning (DL) technologies. Real-world ML applications help companies to improve products and automate tasks such as classification, image recognition and automation. However, a traditional “fixed” approach where the system is frozen before deployment leads to a sub-optimal system performance. Systems autonomously experimenting with and improving their own behavior and performance could improve business outcomes but we need to know how this could actually work in practice. While there is some research on autonomously improving systems, the focus on the concepts and theoretical algorithms. However, less research is focused on empirical industry validation of the proposed theory. Empirical validations are usually done through simulations or by using synthetic or manually alteration of datasets. The contribution of this paper is twofold. First, we conduct a systematic literature review in which we focus on papers describing industrial deployments of autonomously improving systems and their real-world applications. Secondly, we identify open research questions and derive a model that classifies the level of autonomy based on our findings in the literature review.","2021","2021-01-22 10:28:56","2021-01-22 10:28:56","","30-45","","","","","","Autonomously Improving Systems in Industry","Lecture Notes in Business Information Processing","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\wouterkok\Zotero\storage\WH9ELB7V\Green et al. - 2021 - Autonomously Improving Systems in Industry A Syst.pdf","","","AI engineering; Autonomously improving systems; Empirical validation; Industrial application; Machine learning","Klotins, Eriks; Wnuk, Krzysztof","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FWFQCHNJ","journalArticle","2020","Ros, Rasmus; Hammar, Mikael","Data-driven software design with Constraint Oriented Multi-variate Bandit Optimization (COMBO)","Empirical Software Engineering","","1573-7616","10.1007/s10664-020-09856-1","https://doi.org/10.1007/s10664-020-09856-1","Software design in e-commerce can be improved with user data through controlled experiments (i.e. A/B tests) to better meet user needs. Machine learning-based algorithmic optimization techniques extends the approach to large number of variables to personalize software to different user needs. So far the optimization techniques has only been applied to optimize software of low complexity, such as colors and wordings of text.","2020-09-01","2021-01-22 10:29:06","2021-01-22 10:29:06","2021-01-22 10:29:06","3841-3872","","5","25","","Empir Software Eng","","","","","","","","en","","","","","Springer Link","","","","C:\Users\wouterkok\Zotero\storage\YT7CKUSF\Ros and Hammar - 2020 - Data-driven software design with Constraint Orient.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F4HQM98Q","journalArticle","2009","Kohavi, Ron; Longbotham, Roger; Sommerfield, Dan; Henne, Randal M.","Controlled experiments on the web: survey and practical guide","Data Mining and Knowledge Discovery","","1573-756X","10.1007/s10618-008-0114-1","https://doi.org/10.1007/s10618-008-0114-1","The web provides an unprecedented opportunity to evaluate ideas quickly using controlled experiments, also called randomized experiments, A/B tests (and their generalizations), split tests, Control/Treatment tests, MultiVariable Tests (MVT) and parallel flights. Controlled experiments embody the best scientific design for establishing a causal relationship between changes and their influence on user-observable behavior. We provide a practical guide to conducting online experiments, where end-users can help guide the development of features. Our experience indicates that significant learning and return-on-investment (ROI) are seen when development teams listen to their customers, not to the Highest Paid Person’s Opinion (HiPPO). We provide several examples of controlled experiments with surprising results. We review the important ingredients of running controlled experiments, and discuss their limitations (both technical and organizational). We focus on several areas that are critical to experimentation, including statistical power, sample size, and techniques for variance reduction. We describe common architectures for experimentation systems and analyze their advantages and disadvantages. We evaluate randomization and hashing techniques, which we show are not as simple in practice as is often assumed. Controlled experiments typically generate large amounts of data, which can be analyzed using data mining techniques to gain deeper understanding of the factors influencing the outcome of interest, leading to new hypotheses and creating a virtuous cycle of improvements. Organizations that embrace controlled experiments with clear evaluation criteria can evolve their systems with automated optimizations and real-time analyses. Based on our extensive practical experience with multiple systems and organizations, we share key lessons that will help practitioners in running trustworthy controlled experiments.","2009-02-01","2021-01-22 10:29:12","2021-01-22 10:29:12","2021-01-22 10:29:12","140-181","","1","18","","Data Min Knowl Disc","Controlled experiments on the web","","","","","","","en","","","","","Springer Link","","","","C:\Users\wouterkok\Zotero\storage\VZGANIGU\Kohavi et al. - 2009 - Controlled experiments on the web survey and prac.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIT3NMUR","bookSection","2009","Cámara, Javier; Kobsa, Alfred","Facilitating Controlled Tests of Website Design Changes Using Aspect-Oriented Software Development and Software Product Lines","Transactions on Large-Scale Data- and Knowledge-Centered Systems I","978-3-642-03722-1","","","https://doi.org/10.1007/978-3-642-03722-1_5","Controlled online experiments in which envisaged changes to a website are first tested live with a small subset of site visitors have proven to predict the effects of these changes quite accurately. However, these experiments often require expensive infrastructure and are costly in terms of development effort. This paper advocates a systematic approach to the design and implementation of such experiments in order to overcome the aforementioned drawbacks by making use of Aspect-Oriented Software Development and Software Product Lines.","2009","2021-01-22 10:29:25","2021-01-22 10:29:25","2021-01-22 10:29:25","116-135","","","","","","","Lecture Notes in Computer Science","","","","Springer","Berlin, Heidelberg","en","","","","","Springer Link","","DOI: 10.1007/978-3-642-03722-1_5","","C:\Users\wouterkok\Zotero\storage\W2URTW3H\Cámara and Kobsa - 2009 - Facilitating Controlled Tests of Website Design Ch.pdf","","","Logical Expression; Online Test; Shopping Cart; Software Product Line; User Assignment","Hameurlain, Abdelkader; Küng, Josef; Wagner, Roland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5GNIQTME","bookSection","2019","Hopfgartner, Frank; Balog, Krisztian; Lommatzsch, Andreas; Kelly, Liadh; Kille, Benjamin; Schuth, Anne; Larson, Martha","Continuous Evaluation of Large-Scale Information Access Systems: A Case for Living Labs","Information Retrieval Evaluation in a Changing World: Lessons Learned from 20 Years of CLEF","978-3-030-22948-1","","","https://doi.org/10.1007/978-3-030-22948-1_21","A/B testing is currently being increasingly adopted for the evaluation of commercial information access systems with a large user base since it provides the advantage of observing the efficiency and effectiveness of information access systems under real conditions. Unfortunately, unless university-based researchers closely collaborate with industry or develop their own infrastructure or user base, they cannot validate their ideas in live settings with real users. Without online testing opportunities open to the research communities, academic researchers are unable to employ online evaluation on a larger scale. This means that they do not get feedback for their ideas and cannot advance their research further. Businesses, on the other hand, miss the opportunity to have higher customer satisfaction due to improved systems. In addition, users miss the chance to benefit from an improved information access system. In this chapter, we introduce two evaluation initiatives at CLEF, NewsREEL and Living Labs for IR (LL4IR), that aim to address this growing “evaluation gap” between academia and industry. We explain the challenges and discuss the experiences organizing theses living labs.","2019","2021-01-22 10:29:28","2021-01-22 10:29:28","2021-01-22 10:29:28","511-543","","","","","","Continuous Evaluation of Large-Scale Information Access Systems","The Information Retrieval Series","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","DOI: 10.1007/978-3-030-22948-1_21","","C:\Users\wouterkok\Zotero\storage\QRI6UK47\Hopfgartner et al. - 2019 - Continuous Evaluation of Large-Scale Information A.pdf","","","","Ferro, Nicola; Peters, Carol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
